"###","- - - - - - - - - - - - - - - - - - - - -"
"###",Fraze personalizate care există numai în acestă temă.
"###","- - - - - - - - - - - - - - - - - - - - -"
"###",Modul Pagină
"Results per page",Rezultate per pagină
"%s-%s of %s",%s-%s din %s
"###",Modul Catalog
"Filter",Filtru
"View Details",Vizualizare Detalii
"Share on Facebook",Partajare pe Facebook
"Share on Twitter",Partajare pe Twitter
"###",Modul Finalizare Comandă
"Are you sure you want to leave this page? You will need to go through the checkout steps again.",Sunteți sigur că doriți să părăsiți această pagină? Va trebui să parcurgeți pașii de finalizare a comenzii din nou.
"Zip/Postal Code",Cod Poștal
"Discount Codes?",Coduri de reducere?
"###",Modul Client
"Registration is free and easy!",Înregistrarea este gratuită și ușoară!
"Faster checkout",Finalizare comandă mai rapid
"Save multiple shipping addresses",Salvare adrese multiple expediere
"View and track orders and more",Vizualizare și urmărire comenzi și altele
