"Credit Card Type","Tip Card Credit"
"Add New User","Adăugare Utilizator Nou"
"Items that you don","Articole pe care nu le"
"State/Province","Județ"
"Magento Commerce - Administrative Panel","Magento Commerce - Panou de Administrare"
"3 stars","3 stele"
"Credit Memo Date","Dată Memo Credit"
"Double click on a group to rename it","Dublu click pe un grup pentru redenumire"
"Rating Not Available","Scor Indisponibil"
"Gift Certificate","Certificat Cadou"
"Assigned Answers","Răspunsuri Atribuite"
"Fax","Fax"
"Magento Admin","Administrare Magento"
"Newsletter Message Preview","Previzualizare Mesaj Buletin"
"4 stars","4 stele"
"Company","Companie"
"Invoice Date","Dată Factură"
"Qty Returned","Cant Returnată"
"Add New Customer Group","Adăugare Grup Clienți Nou"
"Visitors","Visitatori"
"Shipping Method","Metodă Expediere"
"Subtotal","Subtotal"
"5 stars","5 stele"
"Choose Store","Selectare Magazin"
"Import Tax Rates","Importare Rate Taxare"
"Roles","Roluri"
"If you do not specify an option value for a store then the default value will be used.","Dacă nu specificați o valoare opțiune pentru un magazin atunci valoarea implicită va fi utilizată."
"Shipping","Expediere"
"Select from existing customer addresses:","Selectare dintre adresele client existente:"
"Products","Produse"
"Edit User ","Editare Utilizator "
"Item Status","Status Articol"
"Set as default billing address","Setare ca adresă implicită facturare"
"Position","Poziție"
"Items Ordered","Articole Comandate"
"Fixed","Fix"
"%s","%s"
"Same as Billing Address","La fel cu Adresa de Facturare"
"Product In Stores","Produs în Magazine"
"Working...","Lucrează..."
"Apply coupon code","Aplicare cod cupon"
"per page","per pagină"
"Tax","Taxe"
"Telephone","Telefon"
"Wishlist","Listă Dorințe"
"Magento","Magento"
"Expiration Date","Dată Expirare"
"Add New Class","Adăugare Clasă Nouă"
"Super product attributes configuration","Configurare atribute super produs"
"Previus page","Pagina anterioară"
"Something went wrong...","Ceva a mers greșit..."
"Lifetime Sales","Vânzări Totale"
"SKU","COD"
"Log Out","Delogare"
"Failed","Eșuat"
"Billing Address","Adresă Facturare"
"Log into Magento Admin Page","Autentificare la Pagina Administrativă Magento"
"Invoice Status","Status Factură"
"CC Type","Tip CC"
"Percentage","Procentaj"
"Are you sure?","Sunteți sigur?"
"Email","E-mail"
"Customer Group:","Grup Clienți:"
"Option","Opțiune"
"Primary Billing Address","Adresă Principală de Facturare"
"Create Backup","Creare Backup"
"Manage Options (values for your attribute)","Gestionare Opțiuni (valori pentru atributul dvs.)"
"Total Due","Total de Plată"
"Copyright 2007","Copyright 2007"
"Newsletter Subscribers","Abonați Buletin"
"CC Number","Număr CC"
"Add New Tax Rate","Adăugare Cotă Taxare Nouă"
"Product Name","Nume Produs"
"Country","Țara"
"Purchase order number","Număr achiziționare comandă"
"Date and Time","Dată și Timp"
"Categories","Categorii"
"Qty Cancelled","Cant Anulată"
"Card Verification Number","Număr Verificare Card"
"Order Date","Dată Comandă"
"This tab contains invalid data. Please correct before saving.","Această casetă conține date invalide. Corectați înainte de salvare."
"Customer Balance","Balanță Client"
"Update Qty","Actualizare Cant"
"Customer Groups","Grupuri Clienți"
"Export to","Exportare la"
"configuration","configurație"
"Sorry, no quotes are available for this order at this time.","Ne pare rău, nu există nicio estimare disponibilă pentru această comandă momentan."
"Options","Opțiuni"
"Attribute Name","Nume Atribut"
"Total <strong>%d</strong> records found","Un total de <strong>%d</strong> înregistrări găsite"
"Comment","Comentariu"
"Set as default shipping address","Setare ca adresă implicită de livrare"
"Last Name","Nume de Familie"
"of","din"
"Newsletter Problem Reports","Rapoarte Probleme Buletin"
"Sales Statistics","Statistici Vânzări"
"Qty To Return","Cant De Returnat"
"New Customer Address","Adresă Client Nouă"
